DestinationID,Name,County,LocationDefined,State,Zip,FiscalYear,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Meals
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00501,2025,155,155,155,155,155,155,155,155,155,155,155,155,86
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00544,2025,155,155,155,155,155,155,155,155,155,155,155,155,86
158,Springfield,"Hampden County, MA",Hampden,MA,01001,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01002,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01003,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01004,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01005,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01007,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01008,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01009,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01010,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01011,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01011,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01012,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01013,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01014,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01020,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01021,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01022,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01026,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01027,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01028,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01029,2025,136,136,136,136,136,136,136,136,136,178,178,136,86
158,Springfield,"Hampden County, MA",Hampden,MA,01030,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
160,Worcester,"Worcester County, MA",Worcester,MA,01031,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01032,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01033,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01034,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01035,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01036,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
160,Worcester,"Worcester County, MA",Worcester,MA,01037,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01038,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01039,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01040,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01041,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01050,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01053,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
0,Standard Rate,,,MA,01054,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
154,Northampton,"Hampshire County, MA",Hampshire,MA,01054,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01056,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01057,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01059,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01060,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01061,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01062,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01063,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01066,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01068,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
158,Springfield,"Hampden County, MA",Hampden,MA,01069,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01070,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01071,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
0,Standard Rate,,,MA,01072,2025,110,110,110,110,110,110,110,110,110,110,110,110,68
154,Northampton,"Hampshire County, MA",Hampshire,MA,01073,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
160,Worcester,"Worcester County, MA",Worcester,MA,01074,2025,135,135,135,135,135,135,135,135,135,135,135,135,80
154,Northampton,"Hampshire County, MA",Hampshire,MA,01075,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
158,Springfield,"Hampden County, MA",Hampden,MA,01075,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01077,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01079,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01080,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
158,Springfield,"Hampden County, MA",Hampden,MA,01081,2025,128,128,128,128,128,128,128,128,128,128,128,128,74
154,Northampton,"Hampshire County, MA",Hampshire,MA,01082,2025,157,157,157,157,157,157,157,157,157,157,157,157,80
