DestinationID,Name,County,LocationDefined,State,Zip,FiscalYear,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Meals
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00501,2022,145,145,145,145,145,145,145,145,145,145,145,145,69
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00544,2022,145,145,145,145,145,145,145,145,145,145,145,145,69
158,Springfield,"Hampden County, MA",Hampden,MA,01001,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01002,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01003,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01004,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
160,Worcester,"Worcester County, MA",Worcester,MA,01005,2022,125,125,125,125,125,125,125,125,125,125,125,125,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01007,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
158,Springfield,"Hampden County, MA",Hampden,MA,01008,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
158,Springfield,"Hampden County, MA",Hampden,MA,01009,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
158,Springfield,"Hampden County, MA",Hampden,MA,01010,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01011,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
158,Springfield,"Hampden County, MA",Hampden,MA,01011,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01012,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
158,Springfield,"Hampden County, MA",Hampden,MA,01013,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
158,Springfield,"Hampden County, MA",Hampden,MA,01014,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
158,Springfield,"Hampden County, MA",Hampden,MA,01020,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
158,Springfield,"Hampden County, MA",Hampden,MA,01021,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
158,Springfield,"Hampden County, MA",Hampden,MA,01022,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01026,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01027,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
158,Springfield,"Hampden County, MA",Hampden,MA,01028,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01029,2022,118,118,118,118,118,118,118,118,154,154,154,118,64
158,Springfield,"Hampden County, MA",Hampden,MA,01030,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
160,Worcester,"Worcester County, MA",Worcester,MA,01031,2022,125,125,125,125,125,125,125,125,125,125,125,125,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01032,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01033,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
158,Springfield,"Hampden County, MA",Hampden,MA,01034,2022,115,115,115,115,115,115,115,115,115,115,115,115,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01035,2022,122,122,122,122,122,122,122,122,122,122,122,122,69
