DestinationID,Name,County,LocationDefined,State,Zip,FiscalYear,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Meals
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00501,2024,150,150,150,150,150,150,150,150,150,150,150,150,69
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00544,2024,150,150,150,150,150,150,150,150,150,150,150,150,69
158,Springfield,"Hampden County, MA",Hampden,MA,01001,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01002,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01003,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01004,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
160,Worcester,"Worcester County, MA",Worcester,MA,01005,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01007,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01008,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01009,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01010,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01011,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01011,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01012,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01013,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01014,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01020,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01021,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01022,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01026,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01027,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01028,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01029,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
158,Springfield,"Hampden County, MA",Hampden,MA,01030,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
160,Worcester,"Worcester County, MA",Worcester,MA,01031,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01032,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01033,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01034,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01035,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01036,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
160,Worcester,"Worcester County, MA",Worcester,MA,01037,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01038,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01039,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01040,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01041,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01050,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01053,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
0,Standard Rate,,,MA,01054,2024,107,107,107,107,107,107,107,107,107,107,107,107,59
154,Northampton,"Hampshire County, MA",Hampshire,MA,01054,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01056,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01057,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01059,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01060,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01061,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01062,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01063,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01066,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
160,Worcester,"Worcester County, MA",Worcester,MA,01068,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
158,Springfield,"Hampden County, MA",Hampden,MA,01069,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01070,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01071,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
0,Standard Rate,,,MA,01072,2024,107,107,107,107,107,107,107,107,107,107,107,107,59
154,Northampton,"Hampshire County, MA",Hampshire,MA,01073,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
160,Worcester,"Worcester County, MA",Worcester,MA,01074,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01075,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01075,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01077,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01079,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01080,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01081,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01082,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
160,Worcester,"Worcester County, MA",Worcester,MA,01083,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
154,Northampton,"Hampshire County, MA",Hampshire,MA,01084,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01085,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01086,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01088,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01089,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01090,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
160,Worcester,"Worcester County, MA",Worcester,MA,01092,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
0,Standard Rate,,,MA,01093,2024,107,107,107,107,107,107,107,107,107,107,107,107,59
160,Worcester,"Worcester County, MA",Worcester,MA,01094,2024,130,130,130,130,130,130,130,130,130,130,130,130,69
158,Springfield,"Hampden County, MA",Hampden,MA,01095,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01096,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01097,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01098,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
158,Springfield,"Hampden County, MA",Hampden,MA,01101,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01102,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01103,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01104,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01105,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01106,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01107,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01108,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01109,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01111,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01115,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01116,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01118,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01119,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01128,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01129,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01138,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01139,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01144,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01151,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01152,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
158,Springfield,"Hampden County, MA",Hampden,MA,01199,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01201,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01202,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01203,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01220,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01222,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01223,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
158,Springfield,"Hampden County, MA",Hampden,MA,01223,2024,122,122,122,122,122,122,122,122,122,122,122,122,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01224,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01225,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01226,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01227,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01229,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01230,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01235,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01236,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01237,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01238,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01240,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01242,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
154,Northampton,"Hampshire County, MA",Hampshire,MA,01243,2024,146,146,146,146,146,146,146,146,146,146,146,146,69
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01244,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01245,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01247,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01252,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01253,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01254,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01255,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01256,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01257,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01258,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01259,2024,131,131,131,131,131,131,131,131,160,160,160,131,64
