DestinationID,Name,County,LocationDefined,State,Zip,FiscalYear,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Meals
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00501,2021,145,145,145,145,145,145,145,145,145,145,145,145,71
271,Riverhead / Ronkonkoma / Melville,"Suffolk County, NY",Suffolk,NY,00544,2021,145,145,145,145,145,145,145,145,145,145,145,145,71
158,Springfield,"Hampden County, MA",Hampden,MA,01001,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01002,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01003,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01004,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
160,Worcester,"Worcester County, MA",Worcester,MA,01005,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
154,Northampton,"Hampshire County, MA",Hampshire,MA,01007,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01008,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01009,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01010,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01011,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01011,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01012,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01013,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01014,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01020,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01021,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01022,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01026,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01027,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01028,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
155,Pittsfield,"Berkshire County, MA",Berkshire,MA,01029,2021,118,118,118,118,118,118,118,118,154,154,154,118,71
158,Springfield,"Hampden County, MA",Hampden,MA,01030,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
160,Worcester,"Worcester County, MA",Worcester,MA,01031,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
154,Northampton,"Hampshire County, MA",Hampshire,MA,01032,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01033,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01034,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01035,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01036,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
160,Worcester,"Worcester County, MA",Worcester,MA,01037,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
154,Northampton,"Hampshire County, MA",Hampshire,MA,01038,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01039,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01040,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01041,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01050,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01053,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
0,Standard Rate,,,MA,01054,2021,96,96,96,96,96,96,96,96,96,96,96,96,55
154,Northampton,"Hampshire County, MA",Hampshire,MA,01054,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01056,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01057,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01059,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01060,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01061,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01062,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01063,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
154,Northampton,"Hampshire County, MA",Hampshire,MA,01066,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
160,Worcester,"Worcester County, MA",Worcester,MA,01068,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
158,Springfield,"Hampden County, MA",Hampden,MA,01069,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01070,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01071,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
0,Standard Rate,,,MA,01072,2021,96,96,96,96,96,96,96,96,96,96,96,96,55
154,Northampton,"Hampshire County, MA",Hampshire,MA,01073,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
160,Worcester,"Worcester County, MA",Worcester,MA,01074,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
154,Northampton,"Hampshire County, MA",Hampshire,MA,01075,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01075,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01077,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01079,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01080,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01081,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01082,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
160,Worcester,"Worcester County, MA",Worcester,MA,01083,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
154,Northampton,"Hampshire County, MA",Hampshire,MA,01084,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01085,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01086,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01088,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01089,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01090,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
160,Worcester,"Worcester County, MA",Worcester,MA,01092,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
0,Standard Rate,,,MA,01093,2021,96,96,96,96,96,96,96,96,96,96,96,96,55
160,Worcester,"Worcester County, MA",Worcester,MA,01094,2021,125,125,125,125,125,125,125,125,125,125,125,125,61
158,Springfield,"Hampden County, MA",Hampden,MA,01095,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01096,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01097,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
154,Northampton,"Hampshire County, MA",Hampshire,MA,01098,2021,122,122,122,122,122,122,122,122,122,122,122,122,71
158,Springfield,"Hampden County, MA",Hampden,MA,01101,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01102,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01103,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01104,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01105,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01106,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01107,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01108,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01109,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01111,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01115,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01116,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01118,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01119,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01128,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01129,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01138,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01139,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
158,Springfield,"Hampden County, MA",Hampden,MA,01144,2021,115,115,115,115,115,115,115,115,115,115,115,115,56
